valid_waking_days,valid_sleep_nights,meets_waking_criteria,meets_sleep_criteria,meets_all_criteria,pupil_code,meting,school_id,is_low_wear_flag
6,7,True,True,True,1001,1,1,True
6,7,True,True,True,1001,2,1,True
7,7,True,True,True,2001,1,2,False
7,7,True,True,True,2001,2,2,False
6,7,True,True,True,3001,1,3,False
6,7,True,True,True,3001,2,3,False
7,7,True,True,True,4001,1,4,False
7,7,True,True,True,4001,2,4,False
6,7,True,True,True,5001,1,5,False
6,7,True,True,True,5001,2,5,False
6,7,True,True,True,6001,1,6,False
6,7,True,True,True,6001,2,6,False
