filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_totimp_N
1001.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,28.3368183846154,not extracted,0,0,0
1002.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,26.0991077868852,not extracted,0,0,0
2001.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,27.9000277272727,not extracted,0,0,0
2002.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,29.1401976930792,not extracted,0,0,0
3001.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,27.0947126175549,not extracted,0,0,0
3002.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,28.0808602308499,not extracted,0,0,0
4001.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,28.0554769578313,not extracted,0,0,0
4002.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,27.7565498007968,not extracted,0,0,0
5001.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,27.2732317435496,not extracted,0,0,0
6001.csv,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,Autocalibration not done,28.3439255285826,not extracted,0,0,0
