"pupil_id","n_valid_days","n_total_days","n_valid_nights","pupil_valid_sedentary","pupil_valid_sleep","exclusion_reason"
"1001",2,15,0,FALSE,FALSE,"Only 2 valid waking days (need 4); Only 0 valid nights (need 5)"
"1002",0,11,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"2001",3,15,0,FALSE,FALSE,"Only 3 valid waking days (need 4); Only 0 valid nights (need 5)"
"2002",0,11,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"3001",0,15,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"3002",0,11,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"4001",0,15,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"4002",0,11,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"5001",0,15,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
"6001",0,15,0,FALSE,FALSE,"Only 0 valid waking days (need 4); Only 0 valid nights (need 5)"
